date,homeTeamWinner,awayTeamWinner,homeTeamScore,awayTeamScore,leagueName,description,teamOrder,possessionPct,foulsCommitted,offsides,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,country,teamRank,wins,ties,losses,points,gf,ga,gd,season,day_type
2024-03-10 00:00:00,True,False,2,0,USL Championship,Full Time,Away,61.5,13,1,21,2,0.1,0,0,0.8,8,32,0.3,45,29,0.6,8,7,11,0.6,11,5,USA,2,15,7,12,52,48,40,8,Spring,Weekend
2024-03-10 01:30:00,False,False,2,2,USL Championship,Full Time,Home,71.0,18,1,8,3,0.4,0,0,0.8,4,26,0.2,56,24,0.4,2,7,7,1.0,8,14,USA,9,10,9,15,39,36,49,-13,Spring,Weekend
2024-03-10 01:30:00,False,False,2,2,USL Championship,Full Time,Away,29.0,7,0,10,5,0.5,0,0,0.6,3,11,0.3,62,20,0.3,0,6,11,0.5,18,23,USA,11,11,9,14,42,44,39,5,Spring,Weekend
2024-03-10 02:00:00,False,True,0,1,USL Championship,Full Time,Home,64.0,16,2,15,3,0.2,0,0,0.8,7,20,0.4,50,24,0.5,2,12,14,0.9,9,20,USA,12,8,8,18,32,27,46,-19,Spring,Weekend
2024-03-10 02:00:00,False,True,0,1,USL Championship,Full Time,Away,36.0,18,1,10,5,0.5,1,1,0.7,1,18,0.1,77,36,0.5,1,16,21,0.8,10,24,USA,10,12,8,14,44,39,52,-13,Spring,Weekend
2024-03-10 02:30:00,False,True,0,1,USL Championship,Full Time,Home,54.1,17,2,18,8,0.4,0,0,0.9,4,19,0.2,52,26,0.5,3,15,19,0.8,6,15,USA,8,11,9,14,42,33,39,-6,Spring,Weekend
2024-03-10 02:30:00,False,True,0,1,USL Championship,Full Time,Away,45.9,12,1,11,3,0.3,0,0,0.8,4,9,0.4,63,21,0.3,4,10,12,0.8,4,20,USA,9,13,6,15,45,44,51,-7,Spring,Weekend
2024-03-10 03:00:00,True,False,2,1,USL Championship,Full Time,Home,40.4,16,2,11,4,0.4,0,0,0.7,3,13,0.2,66,27,0.4,2,8,16,0.5,10,49,USA,7,13,5,16,44,37,57,-20,Spring,Weekend
2024-03-10 03:00:00,True,False,2,1,USL Championship,Full Time,Away,59.6,14,2,19,5,0.3,0,0,0.7,5,41,0.1,71,29,0.4,8,11,17,0.6,8,8,USA,4,14,9,11,51,49,50,-1,Spring,Weekend
2024-03-10 03:00:00,False,False,2,2,USL Championship,Full Time,Home,53.7,13,2,12,5,0.4,0,0,0.8,3,15,0.2,70,29,0.4,3,14,17,0.8,16,12,USA,5,13,10,11,49,46,34,12,Spring,Weekend
